,Unnamed: 0,file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],width,ang_vel[deg/s],IRSKY_TEMP,TEMP,WINDSP,PRES,FWHM,RHUM,TAU0,image_name
10,10,OMEGA.2022-01-17T02:24:04.785.fits,20,4,56.24,1709.3,1981.05,884.71,2095.0,0.04825,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_20_4.npy
11,11,OMEGA.2022-01-17T02:24:04.785.fits,5,5,59.39,3638.64,2085.93,2777.29,2203.0,0.04683,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_5_5.npy
12,12,OMEGA.2022-01-17T02:24:04.785.fits,6,8,53.76,2728.55,2090.35,1860.18,2215.0,0.04703,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_6_8.npy
13,13,OMEGA.2022-01-17T02:24:04.785.fits,7,9,60.38,1815.11,2085.32,949.99,2203.0,0.04723,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_7_9.npy
14,14,OMEGA.2022-01-17T02:24:04.785.fits,8,10,53.85,902.96,2085.2,37.58,2209.0,0.04742,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_8_10.npy
15,15,OMEGA.2022-01-17T06:59:02.103.fits,18,1,1156.24,4078.4,1650.76,26.45,4083.0,0.2012,-71.2,10.9,10.13,743.7,0.83,55.0,0.003744,OMEGA.2022-01-17T06:59:02.103.fits_strip_18_1.npy
16,16,OMEGA.2022-01-17T06:59:02.103.fits,31,2,349.2,3229.36,2087.79,2040.85,2107.0,0.1375,-71.2,10.9,10.13,743.7,0.83,55.0,0.003744,OMEGA.2022-01-17T06:59:02.103.fits_strip_31_2.npy
17,17,OMEGA.2022-01-17T06:59:02.103.fits,32,3,61.37,1964.1,2019.8,629.38,2371.0,0.1374,-71.2,10.9,10.13,743.7,0.83,55.0,0.003744,OMEGA.2022-01-17T06:59:02.103.fits_strip_32_3.npy
18,18,OMEGA.2022-01-17T02:42:18.798.fits,24,1,59.3,3198.65,2089.89,3980.75,2177.0,0.003087,-71.1,12.62,4.83,745.4,0.48,52.0,0.008044,OMEGA.2022-01-17T02:42:18.798.fits_strip_24_1.npy
19,19,OMEGA.2022-01-17T01:24:19.995.fits,11,1,1909.26,4187.17,2086.44,3481.06,729.0,0.3953,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_11_1.npy
20,20,OMEGA.2022-01-17T01:24:19.995.fits,12,2,55.73,3044.2,786.8,128.45,3007.0,0.3957,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_12_2.npy
21,21,OMEGA.2022-01-17T01:24:19.995.fits,15,3,794.08,4187.4,1805.67,135.78,4177.0,0.3947,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_15_3.npy
22,22,OMEGA.2022-01-17T01:24:19.995.fits,17,4,51.58,3000.97,798.68,5.74,3088.0,0.3971,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_17_4.npy
23,23,OMEGA.2022-01-17T01:24:19.995.fits,19,5,1129.52,118.01,2090.98,1785.7,1926.0,0.4008,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_19_5.npy
24,24,OMEGA.2022-01-17T01:24:19.995.fits,20,6,53.23,1971.55,1238.71,4027.21,2374.0,0.4008,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_20_6.npy
25,25,OMEGA.2022-01-17T01:24:19.995.fits,24,7,1502.53,38.03,2080.96,1043.53,1161.0,0.4008,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_24_7.npy
26,26,OMEGA.2022-01-17T01:24:19.995.fits,4,8,1930.66,4068.68,2089.28,3431.12,658.0,0.3968,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_4_8.npy
27,27,OMEGA.2022-01-17T01:24:19.995.fits,8,9,811.97,4074.67,1818.47,58.88,4141.0,0.3962,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883,OMEGA.2022-01-17T01:24:19.995.fits_strip_8_9.npy
28,28,OMEGA.2022-01-19T02:20:26.865.fits,28,1,324.85,4119.01,111.77,120.66,4005.0,0.206,-74.8,14.57,3.88,745.1,0.64,46.0,0.004189,OMEGA.2022-01-19T02:20:26.865.fits_strip_28_1.npy
29,29,OMEGA.2022-01-19T04:58:39.792.fits,28,9,66.0,3682.9,2090.0,3682.28,2025.0,0.03093,-75.4,13.74,4.8,745.1,0.42,48.0,0.010322,OMEGA.2022-01-19T04:58:39.792.fits_strip_28_9.npy
30,30,OMEGA.2022-01-19T04:27:33.607.fits,16,2,70.39,4192.41,2086.75,3429.1,2157.0,0.1362,-75.7,13.8,2.42,745.2,0.56,48.0,0.007041,OMEGA.2022-01-19T04:27:33.607.fits_strip_16_2.npy
31,31,OMEGA.2022-01-19T04:27:33.607.fits,29,4,59.06,3386.56,2088.79,2619.02,2171.0,0.1358,-75.7,13.8,2.42,745.2,0.56,48.0,0.007041,OMEGA.2022-01-19T04:27:33.607.fits_strip_29_4.npy
32,32,OMEGA.2022-01-19T04:27:33.607.fits,30,5,58.58,2583.0,2085.45,1813.57,2169.0,0.1355,-75.7,13.8,2.42,745.2,0.56,48.0,0.007041,OMEGA.2022-01-19T04:27:33.607.fits_strip_30_5.npy
33,33,OMEGA.2022-01-19T04:27:33.607.fits,31,7,54.53,1771.53,2081.58,1002.58,2169.0,0.1351,-75.7,13.8,2.42,745.2,0.56,48.0,0.007041,OMEGA.2022-01-19T04:27:33.607.fits_strip_31_7.npy
34,34,OMEGA.2022-01-19T04:27:33.607.fits,32,8,59.28,959.56,2087.5,193.69,2169.0,0.1347,-75.7,13.8,2.42,745.2,0.56,48.0,0.007041,OMEGA.2022-01-19T04:27:33.607.fits_strip_32_8.npy
35,35,OMEGA.2022-01-19T01:58:42.111.fits,17,1,1859.79,3988.72,886.62,14.12,4093.0,0.2864,-74.9,14.03,4.68,745.0,0.88,48.0,0.003822,OMEGA.2022-01-19T01:58:42.111.fits_strip_17_1.npy
36,36,OMEGA.2022-01-19T01:58:42.111.fits,22,2,829.84,4071.82,57.31,908.79,3257.0,0.2865,-74.9,14.03,4.68,745.0,0.88,48.0,0.003822,OMEGA.2022-01-19T01:58:42.111.fits_strip_22_2.npy
37,37,OMEGA.2022-01-19T01:58:42.111.fits,26,3,1819.83,4077.8,852.63,125.42,4070.0,0.2865,-74.9,14.03,4.68,745.0,0.88,48.0,0.003822,OMEGA.2022-01-19T01:58:42.111.fits_strip_26_3.npy
38,38,OMEGA.2022-01-19T01:58:42.111.fits,30,5,2083.96,726.99,1942.01,146.08,599.0,0.2866,-74.9,14.03,4.68,745.0,0.88,48.0,0.003822,OMEGA.2022-01-19T01:58:42.111.fits_strip_30_5.npy
39,39,OMEGA.2022-01-19T01:58:42.111.fits,31,6,785.46,4168.76,59.49,1196.12,3061.0,0.2866,-74.9,14.03,4.68,745.0,0.88,48.0,0.003822,OMEGA.2022-01-19T01:58:42.111.fits_strip_31_6.npy
40,40,OMEGA.2022-01-22T04:46:34.403.fits,1,1,1471.9,12.91,2091.29,1769.94,1864.0,0.01274,-92.0,13.6,8.45,743.2,0.74,28.0,0.004791,OMEGA.2022-01-22T04:46:34.403.fits_strip_1_1.npy
41,41,OMEGA.2022-01-22T04:46:34.403.fits,11,2,230.34,132.09,1669.44,4184.12,4301.0,0.01264,-92.0,13.6,8.45,743.2,0.74,28.0,0.004791,OMEGA.2022-01-22T04:46:34.403.fits_strip_11_2.npy
42,42,OMEGA.2022-01-22T04:46:34.403.fits,16,4,54.58,1203.49,1123.29,4185.79,3169.0,0.0126,-92.0,13.6,8.45,743.2,0.74,28.0,0.004791,OMEGA.2022-01-22T04:46:34.403.fits_strip_16_4.npy
43,43,OMEGA.2022-01-22T04:46:34.403.fits,6,7,893.52,4.24,2084.94,3372.75,3574.0,0.01269,-92.0,13.6,8.45,743.2,0.74,28.0,0.004791,OMEGA.2022-01-22T04:46:34.403.fits_strip_6_7.npy
44,44,OMEGA.2022-01-22T04:46:34.403.fits,7,8,56.19,3684.41,200.6,4093.68,435.0,0.01266,-92.0,13.6,8.45,743.2,0.74,28.0,0.004791,OMEGA.2022-01-22T04:46:34.403.fits_strip_7_8.npy
45,45,OMEGA.2022-01-22T01:14:15.737.fits,25,2,246.46,108.74,2085.48,3191.95,3591.0,0.2367,-90.0,14.06,11.13,743.0,0.85,29.0,0.003813,OMEGA.2022-01-22T01:14:15.737.fits_strip_25_2.npy
46,46,OMEGA.2022-01-22T01:14:15.737.fits,30,4,773.29,140.28,2090.0,2345.02,2569.0,0.237,-90.0,14.06,11.13,743.0,0.85,29.0,0.003813,OMEGA.2022-01-22T01:14:15.737.fits_strip_30_4.npy
47,47,OMEGA.2022-01-22T01:14:15.737.fits,31,5,54.84,2518.83,1044.53,4181.59,1936.0,0.2371,-90.0,14.06,11.13,743.0,0.85,29.0,0.003813,OMEGA.2022-01-22T01:14:15.737.fits_strip_31_5.npy
48,48,OMEGA.2022-01-22T03:14:15.347.fits,30,1,1572.98,1929.63,2084.41,1953.67,513.0,0.004619,-92.4,13.82,9.53,743.5,0.66,28.0,0.005378,OMEGA.2022-01-22T03:14:15.347.fits_strip_30_1.npy
49,49,OMEGA.2022-01-22T03:14:15.347.fits,31,2,52.04,1958.99,2089.65,2057.89,2041.0,0.004619,-92.4,13.82,9.53,743.5,0.66,28.0,0.005378,OMEGA.2022-01-22T03:14:15.347.fits_strip_31_2.npy
50,50,OMEGA.2022-01-22T03:14:15.347.fits,32,3,52.03,2065.58,1346.49,2128.7,1297.0,0.004619,-92.4,13.82,9.53,743.5,0.66,28.0,0.005378,OMEGA.2022-01-22T03:14:15.347.fits_strip_32_3.npy
51,51,OMEGA.2022-01-22T01:02:06.275.fits,13,1,542.26,4181.09,350.22,129.63,4057.0,0.4092,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647,OMEGA.2022-01-22T01:02:06.275.fits_strip_13_1.npy
52,52,OMEGA.2022-01-22T01:02:06.275.fits,18,3,54.89,863.32,1240.5,4080.83,3430.0,0.2541,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647,OMEGA.2022-01-22T01:02:06.275.fits_strip_18_3.npy
53,53,OMEGA.2022-01-22T01:02:06.275.fits,22,4,1388.62,13.08,2089.51,1912.91,2026.0,0.2541,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647,OMEGA.2022-01-22T01:02:06.275.fits_strip_22_4.npy
54,54,OMEGA.2022-01-22T01:02:06.275.fits,23,5,55.57,2214.74,750.74,4087.9,1999.0,0.254,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647,OMEGA.2022-01-22T01:02:06.275.fits_strip_23_5.npy
55,55,OMEGA.2022-01-22T01:02:06.275.fits,27,6,775.7,114.06,2086.2,3659.62,3781.0,0.254,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647,OMEGA.2022-01-22T01:02:06.275.fits_strip_27_6.npy
56,56,OMEGA.2022-01-22T01:02:06.275.fits,32,8,287.44,136.26,1783.47,4192.15,4324.0,0.2539,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647,OMEGA.2022-01-22T01:02:06.275.fits_strip_32_8.npy
57,57,OMEGA.2022-01-22T01:02:06.275.fits,9,10,330.28,4182.46,135.01,117.14,4071.0,0.4095,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647,OMEGA.2022-01-22T01:02:06.275.fits_strip_9_10.npy
58,58,OMEGA.2022-01-22T08:05:58.167.fits,28,1,1842.7,4193.47,2084.12,3019.03,1200.0,0.2754,-90.9,13.49,2.15,742.6,0.54,30.0,0.01325,OMEGA.2022-01-22T08:05:58.167.fits_strip_28_1.npy
59,59,OMEGA.2022-01-22T08:05:58.167.fits,32,2,934.38,4194.04,1761.69,137.55,4141.0,0.276,-90.9,13.49,2.15,742.6,0.54,30.0,0.01325,OMEGA.2022-01-22T08:05:58.167.fits_strip_32_2.npy
60,60,OMEGA.2022-01-22T03:12:31.027.fits,15,1,897.95,1577.68,2086.51,1636.21,1191.0,0.004619,-92.4,13.82,9.78,743.5,0.71,28.0,0.005487,OMEGA.2022-01-22T03:12:31.027.fits_strip_15_1.npy
61,61,OMEGA.2022-01-22T03:12:31.027.fits,16,2,60.11,1641.71,2089.69,1740.89,2033.0,0.004619,-92.4,13.82,9.78,743.5,0.71,28.0,0.005487,OMEGA.2022-01-22T03:12:31.027.fits_strip_16_2.npy
62,62,OMEGA.2022-01-22T03:12:31.027.fits,29,3,51.41,1748.09,687.66,1779.04,638.0,0.004619,-92.4,13.82,9.78,743.5,0.71,28.0,0.005487,OMEGA.2022-01-22T03:12:31.027.fits_strip_29_3.npy
63,63,OMEGA.2022-01-22T04:54:02.313.fits,31,1,54.83,4039.31,2080.25,2294.99,2674.0,0.1422,-92.5,13.53,8.7,743.1,1.12,28.0,0.006071,OMEGA.2022-01-22T04:54:02.313.fits_strip_31_1.npy
64,64,OMEGA.2022-01-22T04:54:02.313.fits,32,2,60.62,2190.55,2002.48,522.38,2561.0,0.1419,-92.5,13.53,8.7,743.1,1.12,28.0,0.006071,OMEGA.2022-01-22T04:54:02.313.fits_strip_32_2.npy
65,65,OMEGA.2022-01-22T03:10:45.887.fits,13,1,51.45,1329.82,2086.16,1426.41,2038.0,0.004619,-92.4,13.86,9.93,743.4,0.74,28.0,0.005142,OMEGA.2022-01-22T03:10:45.887.fits_strip_13_1.npy
66,66,OMEGA.2022-01-03T07:32:33.192.fits,2,1,59.8,3459.2,1773.42,48.47,3818.0,0.23,-95.4,14.03,5.5,744.6,1.27,6.0,0.004027,OMEGA.2022-01-03T07:32:33.192.fits_strip_2_1.npy
67,67,OMEGA.2022-01-03T07:32:33.192.fits,5,4,60.89,3233.33,1677.8,33.66,3586.0,0.2308,-95.4,14.03,5.5,744.6,1.27,6.0,0.004027,OMEGA.2022-01-03T07:32:33.192.fits_strip_5_4.npy
68,68,OMEGA.2022-01-03T02:20:08.139.fits,11,1,1596.31,4194.66,2086.61,2146.53,2107.0,0.05752,-91.4,15.38,6.33,745.5,0.93,12.0,0.005316,OMEGA.2022-01-03T02:20:08.139.fits_strip_11_1.npy
69,69,OMEGA.2022-01-03T02:20:08.139.fits,12,2,51.96,1697.41,432.83,112.52,1631.0,0.05736,-91.4,15.38,6.33,745.5,0.93,12.0,0.005316,OMEGA.2022-01-03T02:20:08.139.fits_strip_12_2.npy
70,70,OMEGA.2022-01-03T02:20:08.139.fits,15,3,534.3,4194.93,1499.85,132.08,4177.0,0.05781,-91.4,15.38,6.33,745.5,0.93,12.0,0.005316,OMEGA.2022-01-03T02:20:08.139.fits_strip_15_3.npy
71,71,OMEGA.2022-01-03T02:20:08.139.fits,4,5,1522.39,4068.16,2089.99,1705.38,2431.0,0.0569,-91.4,15.38,6.33,745.5,0.93,12.0,0.005316,OMEGA.2022-01-03T02:20:08.139.fits_strip_4_5.npy
72,72,OMEGA.2022-01-03T02:20:08.139.fits,8,6,451.48,4086.27,1428.21,7.59,4195.0,0.0572,-91.4,15.38,6.33,745.5,0.93,12.0,0.005316,OMEGA.2022-01-03T02:20:08.139.fits_strip_8_6.npy
73,73,OMEGA.2022-01-03T08:01:32.026.fits,13,1,1956.28,4184.35,2089.4,3436.1,761.0,0.3884,-93.5,13.63,7.18,744.6,1.11,6.0,0.004505,OMEGA.2022-01-03T08:01:32.026.fits_strip_13_1.npy
74,74,OMEGA.2022-01-03T08:01:32.026.fits,14,2,54.9,2830.54,543.71,124.33,2751.0,0.3879,-93.5,13.63,7.18,744.6,1.11,6.0,0.004505,OMEGA.2022-01-03T08:01:32.026.fits_strip_14_2.npy
75,75,OMEGA.2022-01-03T08:01:32.026.fits,3,3,57.27,3949.68,772.31,14.11,4001.0,0.385,-93.5,13.63,7.18,744.6,1.11,6.0,0.004505,OMEGA.2022-01-03T08:01:32.026.fits_strip_3_3.npy
76,76,OMEGA.2022-01-03T08:01:32.026.fits,6,4,1379.24,4022.32,2087.51,101.79,3985.0,0.3861,-93.5,13.63,7.18,744.6,1.11,6.0,0.004505,OMEGA.2022-01-03T08:01:32.026.fits_strip_6_4.npy
77,77,OMEGA.2022-01-03T01:18:01.318.fits,19,1,1349.28,4056.1,58.98,301.63,3971.0,0.479,-91.3,15.98,6.33,745.4,0.7,11.0,0.005522,OMEGA.2022-01-03T01:18:01.318.fits_strip_19_1.npy
78,78,OMEGA.2022-01-03T01:18:01.318.fits,23,2,2084.35,1748.45,1505.55,63.07,1783.0,0.4791,-91.3,15.98,6.33,745.4,0.7,11.0,0.005522,OMEGA.2022-01-03T01:18:01.318.fits_strip_23_2.npy
79,79,OMEGA.2022-01-03T01:18:01.318.fits,24,3,744.88,4072.99,64.39,2096.88,2091.0,0.4791,-91.3,15.98,6.33,745.4,0.7,11.0,0.005522,OMEGA.2022-01-03T01:18:01.318.fits_strip_24_3.npy
80,80,OMEGA.2022-01-03T01:18:01.318.fits,28,4,2086.39,3969.85,770.94,107.73,4081.0,0.4792,-91.3,15.98,6.33,745.4,0.7,11.0,0.005522,OMEGA.2022-01-03T01:18:01.318.fits_strip_28_4.npy
81,81,OMEGA.2022-01-03T01:11:55.387.fits,24,1,1553.38,4086.21,2087.71,3217.36,1021.0,0.7213,-91.3,16.51,3.83,745.5,0.71,10.0,0.0076,OMEGA.2022-01-03T01:11:55.387.fits_strip_24_1.npy
82,82,OMEGA.2022-01-03T01:11:55.387.fits,27,2,1133.2,4183.22,2084.45,2640.99,1813.0,0.7202,-91.3,16.51,3.83,745.5,0.71,10.0,0.0076,OMEGA.2022-01-03T01:11:55.387.fits_strip_27_2.npy
83,83,OMEGA.2022-01-03T01:11:55.387.fits,28,3,56.25,2452.28,1505.49,115.15,2751.0,0.7208,-91.3,16.51,3.83,745.5,0.71,10.0,0.0076,OMEGA.2022-01-03T01:11:55.387.fits_strip_28_3.npy
84,84,OMEGA.2022-01-03T01:11:55.387.fits,30,4,516.9,4186.08,2085.08,1640.32,2991.0,0.719,-91.3,16.51,3.83,745.5,0.71,10.0,0.0076,OMEGA.2022-01-03T01:11:55.387.fits_strip_30_4.npy
85,85,OMEGA.2022-01-03T07:26:28.711.fits,10,1,1403.05,120.87,1915.87,4162.46,4075.0,0.3996,-95.4,14.47,5.5,744.6,1.3,6.0,0.004169,OMEGA.2022-01-03T07:26:28.711.fits_strip_10_1.npy
86,86,OMEGA.2022-01-03T07:26:28.711.fits,14,2,1977.4,209.67,2067.83,1105.29,901.0,0.4001,-95.4,14.47,5.5,744.6,1.3,6.0,0.004169,OMEGA.2022-01-03T07:26:28.711.fits_strip_14_2.npy
87,87,OMEGA.2022-01-03T07:26:28.711.fits,17,4,1546.15,4083.98,1408.33,46.33,4041.0,0.4663,-95.4,14.47,5.5,744.6,1.3,6.0,0.004169,OMEGA.2022-01-03T07:26:28.711.fits_strip_17_4.npy
88,88,OMEGA.2022-01-03T07:26:28.711.fits,2,5,309.96,7.3,808.7,4008.33,4033.0,0.3983,-95.4,14.47,5.5,744.6,1.3,6.0,0.004169,OMEGA.2022-01-03T07:26:28.711.fits_strip_2_5.npy
89,89,OMEGA.2022-01-03T07:26:28.711.fits,25,6,1844.34,4156.76,1703.45,127.22,4033.0,0.4683,-95.4,14.47,5.5,744.6,1.3,6.0,0.004169,OMEGA.2022-01-03T07:26:28.711.fits_strip_25_6.npy
90,90,OMEGA.2022-01-03T07:26:28.711.fits,29,7,1988.07,4192.5,1845.78,139.0,4057.0,0.4692,-95.4,14.47,5.5,744.6,1.3,6.0,0.004169,OMEGA.2022-01-03T07:26:28.711.fits_strip_29_7.npy
91,91,OMEGA.2022-01-03T07:26:28.711.fits,6,8,879.55,39.45,1391.35,4087.22,4081.0,0.399,-95.4,14.47,5.5,744.6,1.3,6.0,0.004169,OMEGA.2022-01-03T07:26:28.711.fits_strip_6_8.npy
92,92,OMEGA.2022-01-03T04:26:59.650.fits,26,5,55.03,1099.36,2085.87,654.41,2080.0,0.003081,-92.5,15.89,5.15,745.5,0.86,10.0,0.006344,OMEGA.2022-01-03T04:26:59.650.fits_strip_26_5.npy
93,93,OMEGA.2022-01-03T04:26:59.650.fits,27,6,57.63,628.26,503.11,530.87,457.0,0.003075,-92.5,15.89,5.15,745.5,0.86,10.0,0.006344,OMEGA.2022-01-03T04:26:59.650.fits_strip_27_6.npy
94,94,OMEGA.2022-01-03T04:26:59.650.fits,29,7,53.82,771.16,2087.16,416.73,2065.0,0.004661,-92.5,15.89,5.15,745.5,0.86,10.0,0.006344,OMEGA.2022-01-03T04:26:59.650.fits_strip_29_7.npy
95,95,OMEGA.2022-01-03T04:26:59.650.fits,30,8,56.03,402.16,1615.77,126.0,1585.0,0.004661,-92.5,15.89,5.15,745.5,0.86,10.0,0.006344,OMEGA.2022-01-03T04:26:59.650.fits_strip_30_8.npy
96,96,OMEGA.2022-01-03T00:33:56.321.fits,28,1,1504.71,3570.63,2076.62,3580.86,573.0,0.004768,-91.2,16.52,1.23,745.4,1.05,8.0,0.002014,OMEGA.2022-01-03T00:33:56.321.fits_strip_28_1.npy
97,97,OMEGA.2022-01-16T01:33:46.593.fits,16,1,239.64,4191.93,2084.44,3470.09,1982.0,0.05531,-72.0,14.3,6.8,745.2,0.73,21.0,0.007491,OMEGA.2022-01-16T01:33:46.593.fits_strip_16_1.npy
98,98,OMEGA.2022-01-16T01:33:46.593.fits,29,2,57.69,3425.88,2085.39,2633.56,2178.0,0.0555,-72.0,14.3,6.8,745.2,0.73,21.0,0.007491,OMEGA.2022-01-16T01:33:46.593.fits_strip_29_2.npy
99,99,OMEGA.2022-01-16T01:33:46.593.fits,30,3,51.21,2596.99,2084.49,1799.74,2185.0,0.05569,-72.0,14.3,6.8,745.2,0.73,21.0,0.007491,OMEGA.2022-01-16T01:33:46.593.fits_strip_30_3.npy
100,100,OMEGA.2022-01-16T01:33:46.593.fits,31,4,60.3,1754.03,2086.29,960.08,2177.0,0.05589,-72.0,14.3,6.8,745.2,0.73,21.0,0.007491,OMEGA.2022-01-16T01:33:46.593.fits_strip_31_4.npy
101,101,OMEGA.2022-01-16T01:33:46.593.fits,32,5,58.88,917.64,2085.28,124.77,2177.0,0.05608,-72.0,14.3,6.8,745.2,0.73,21.0,0.007491,OMEGA.2022-01-16T01:33:46.593.fits_strip_32_5.npy
102,102,OMEGA.2022-01-16T01:11:56.269.fits,17,1,65.36,2194.71,1770.76,3974.55,2466.0,0.7208,-72.1,14.54,7.75,744.9,0.43,10.0,0.00583,OMEGA.2022-01-16T01:11:56.269.fits_strip_17_1.npy
103,103,OMEGA.2022-01-16T01:11:56.269.fits,22,2,114.29,19.47,2080.3,2074.49,2845.0,0.7212,-72.1,14.54,7.75,744.9,0.43,10.0,0.00583,OMEGA.2022-01-16T01:11:56.269.fits_strip_22_2.npy
104,104,OMEGA.2022-01-16T01:11:56.269.fits,23,3,66.54,2213.6,1860.38,4084.59,2593.0,0.7215,-72.1,14.54,7.75,744.9,0.43,10.0,0.00583,OMEGA.2022-01-16T01:11:56.269.fits_strip_23_3.npy
105,105,OMEGA.2022-01-16T01:11:56.269.fits,27,4,1935.85,118.02,2077.44,264.89,205.0,0.7216,-72.1,14.54,7.75,744.9,0.43,10.0,0.00583,OMEGA.2022-01-16T01:11:56.269.fits_strip_27_4.npy
106,106,OMEGA.2022-01-16T01:11:56.269.fits,28,6,66.87,399.38,2079.8,2509.16,2917.0,0.7219,-72.1,14.54,7.75,744.9,0.43,10.0,0.00583,OMEGA.2022-01-16T01:11:56.269.fits_strip_28_6.npy
107,107,OMEGA.2022-01-16T01:11:56.269.fits,4,7,119.45,18.03,2084.17,2067.37,2840.0,0.7205,-72.1,14.54,7.75,744.9,0.43,10.0,0.00583,OMEGA.2022-01-16T01:11:56.269.fits_strip_4_7.npy
108,108,OMEGA.2022-01-16T01:05:51.698.fits,4,1,1842.5,4063.02,1772.6,15.62,4049.0,0.3302,-72.1,14.49,7.47,745.0,0.6,12.0,0.008583,OMEGA.2022-01-16T01:05:51.698.fits_strip_4_1.npy
109,109,OMEGA.2022-01-16T01:05:51.698.fits,8,2,1911.17,3619.06,1852.48,100.55,3520.0,0.3299,-72.1,14.49,7.47,745.0,0.6,12.0,0.008583,OMEGA.2022-01-16T01:05:51.698.fits_strip_8_2.npy
110,110,OMEGA.2022-01-25T05:20:54.592.fits,17,1,53.21,291.18,1364.63,11.04,1342.0,0.004759,-93.4,13.88,6.4,742.5,0.72,6.0,0.006269,OMEGA.2022-01-25T05:20:54.592.fits_strip_17_1.npy
