,image_name,snr,alpha,beta,seeing,D,sat_altitude,npy_path
31,image_00032.fits,20,2.5,1.5,1.0,9,474.34164902525686,image_00032.npy
32,image_00033.fits,20,2.5,1.5,1.0,240,2449.489742783178,image_00033.npy
33,image_00034.fits,20,2.5,1.5,1.0,412,3209.3613071762425,image_00034.npy
34,image_00035.fits,20,2.5,1.5,1.0,42,1024.6950765959598,image_00035.npy
35,image_00036.fits,20,2.5,1.5,1.0,330,2872.281323269014,image_00036.npy
36,image_00037.fits,20,2.5,1.5,1.0,351,2962.262648719725,image_00037.npy
37,image_00038.fits,20,2.5,1.5,1.0,201,2241.651177145989,image_00038.npy
38,image_00039.fits,20,2.5,1.5,1.0,4,316.2277660168379,image_00039.npy
39,image_00040.fits,20,2.5,1.5,1.0,128,1788.8543819998315,image_00040.npy
40,image_00041.fits,20,2.5,1.5,1.0,218,2334.5235059857505,image_00041.npy
41,image_00042.fits,20,2.5,1.5,1.0,237,2434.1322889276166,image_00042.npy
42,image_00043.fits,20,2.5,1.5,1.0,212,2302.172886644268,image_00043.npy
43,image_00044.fits,20,2.5,1.5,1.0,342,2924.038303442689,image_00044.npy
44,image_00045.fits,20,2.5,1.5,1.0,18,670.8203932499368,image_00045.npy
45,image_00046.fits,20,2.5,1.5,1.0,3,273.8612787525831,image_00046.npy
46,image_00047.fits,20,2.5,1.5,1.0,477,3453.2593299664013,image_00047.npy
47,image_00048.fits,20,2.5,1.5,1.0,115,1695.582495781317,image_00048.npy
48,image_00049.fits,20,2.5,1.5,1.0,69,1313.3925536563695,image_00049.npy
49,image_00050.fits,20,2.5,1.5,1.0,60,1224.744871391589,image_00050.npy
50,image_00051.fits,20,2.5,1.5,1.0,152,1949.3588689617927,image_00051.npy
51,image_00052.fits,20,2.5,1.5,1.0,114,1688.194301613413,image_00052.npy
52,image_00053.fits,20,2.5,1.5,1.0,202,2247.220505424423,image_00053.npy
53,image_00054.fits,20,2.5,1.5,1.0,391,3126.499640172696,image_00054.npy
54,image_00055.fits,20,2.5,1.5,1.0,457,3380.0887562311136,image_00055.npy
55,image_00056.fits,20,2.5,1.5,1.0,442,3324.1540277189324,image_00056.npy
56,image_00057.fits,20,2.5,1.5,1.0,376,3065.9419433511785,image_00057.npy
57,image_00058.fits,20,2.5,1.5,1.0,5,353.5533905932737,image_00058.npy
58,image_00059.fits,20,2.5,1.5,1.0,309,2779.388421937459,image_00059.npy
59,image_00060.fits,20,2.5,1.5,1.0,376,3065.9419433511785,image_00060.npy
60,image_00061.fits,20,2.5,1.5,1.0,487,3489.26926447358,image_00061.npy
61,image_00062.fits,20,2.5,1.5,1.0,380,3082.207001484488,image_00062.npy
62,image_00063.fits,20,2.5,1.5,1.0,299,2734.044622898463,image_00063.npy
63,image_00064.fits,20,2.5,1.5,1.0,28,836.6600265340755,image_00064.npy
64,image_00065.fits,20,2.5,1.5,1.0,288,2683.281572999748,image_00065.npy
65,image_00066.fits,20,2.5,1.5,1.0,281,2650.471656139714,image_00066.npy
66,image_00067.fits,20,2.5,1.5,1.0,406,3185.9064644147984,image_00067.npy
67,image_00068.fits,20,2.5,1.5,1.0,454,3368.9761055846034,image_00068.npy
68,image_00069.fits,20,2.5,1.5,1.0,41,1012.4228365658292,image_00069.npy
69,image_00070.fits,20,2.5,1.5,1.0,492,3507.135583350036,image_00070.npy
70,image_00071.fits,20,2.5,1.5,1.0,301,2743.17334486904,image_00071.npy
71,image_00072.fits,20,2.5,1.5,1.0,376,3065.9419433511785,image_00072.npy
72,image_00073.fits,20,2.5,1.5,1.0,225,2371.7082451262845,image_00073.npy
73,image_00074.fits,20,2.5,1.5,1.0,412,3209.3613071762425,image_00074.npy
74,image_00075.fits,20,2.5,1.5,1.0,300,2738.6127875258303,image_00075.npy
75,image_00076.fits,20,2.5,1.5,1.0,464,3405.87727318528,image_00076.npy
76,image_00077.fits,20,2.5,1.5,1.0,390,3122.4989991991997,image_00077.npy
77,image_00078.fits,20,2.5,1.5,1.0,459,3387.476937190864,image_00078.npy
78,image_00079.fits,20,2.5,1.5,1.0,230,2397.91576165636,image_00079.npy
79,image_00080.fits,20,2.5,1.5,1.0,161,2006.240264773888,image_00080.npy
80,image_00081.fits,20,2.5,1.5,1.0,481,3467.7081768799403,image_00081.npy
81,image_00082.fits,20,2.5,1.5,1.0,264,2569.046515733025,image_00082.npy
82,image_00083.fits,20,2.5,1.5,1.0,367,3029.026246172192,image_00083.npy
83,image_00084.fits,20,2.5,1.5,1.0,374,3057.776970284131,image_00084.npy
84,image_00085.fits,20,2.5,1.5,1.0,302,2747.726332806817,image_00085.npy
85,image_00086.fits,20,2.5,1.5,1.0,134,1830.3005217723123,image_00086.npy
86,image_00087.fits,20,2.5,1.5,1.0,329,2867.926079939997,image_00087.npy
87,image_00088.fits,20,2.5,1.5,1.0,358,2991.655060330318,image_00088.npy
88,image_00089.fits,20,2.5,1.5,1.0,34,921.9544457292886,image_00089.npy
89,image_00090.fits,20,2.5,1.5,1.0,416,3224.90309931942,image_00090.npy
90,image_00091.fits,20,2.5,1.5,1.0,346,2941.088233970549,image_00091.npy
91,image_00092.fits,20,2.5,1.5,1.0,116,1702.93863659264,image_00092.npy
92,image_00093.fits,20,2.5,1.5,1.0,292,2701.851217221259,image_00093.npy
93,image_00094.fits,20,2.5,1.5,1.0,34,921.9544457292886,image_00094.npy
94,image_00095.fits,20,2.5,1.5,1.0,394,3138.4709652950432,image_00095.npy
95,image_00096.fits,20,2.5,1.5,1.0,427,3267.261850540908,image_00096.npy
96,image_00097.fits,20,2.5,1.5,1.0,348,2949.5762407505254,image_00097.npy
97,image_00098.fits,20,2.5,1.5,1.0,349,2953.811097548386,image_00098.npy
98,image_00099.fits,20,2.5,1.5,1.0,415,3221.024681681281,image_00099.npy
99,image_00100.fits,20,2.5,1.5,1.0,354,2974.894956128704,image_00100.npy
100,image_00101.fits,20,2.5,1.5,1.0,470,3427.8273002005217,image_00101.npy
101,image_00102.fits,20,2.5,1.5,1.0,150,1936.4916731037083,image_00102.npy
102,image_00103.fits,20,2.5,1.5,1.0,210,2291.28784747792,image_00103.npy
103,image_00104.fits,20,2.5,1.5,1.0,130,1802.7756377319945,image_00104.npy
104,image_00105.fits,20,2.5,1.5,1.0,113,1680.7736313971611,image_00105.npy
105,image_00106.fits,20,2.5,1.5,1.0,189,2173.706511928416,image_00106.npy
106,image_00107.fits,20,2.5,1.5,1.0,257,2534.758371127315,image_00107.npy
107,image_00108.fits,20,2.5,1.5,1.0,299,2734.044622898463,image_00108.npy
108,image_00109.fits,20,2.5,1.5,1.0,78,1396.424004376894,image_00109.npy
109,image_00110.fits,20,2.5,1.5,1.0,267,2583.6021365527627,image_00110.npy
110,image_00111.fits,20,2.5,1.5,1.0,426,3263.433774416144,image_00111.npy
111,image_00112.fits,20,2.5,1.5,1.0,206,2269.3611435820435,image_00112.npy
112,image_00113.fits,20,2.5,1.5,1.0,383,3094.349689353161,image_00113.npy
113,image_00114.fits,20,2.5,1.5,1.0,266,2578.7593916455253,image_00114.npy
114,image_00115.fits,20,2.5,1.5,1.0,374,3057.776970284131,image_00115.npy
115,image_00116.fits,20,2.5,1.5,1.0,56,1183.2159566199232,image_00116.npy
116,image_00117.fits,20,2.5,1.5,1.0,472,3435.112807463533,image_00117.npy
117,image_00118.fits,20,2.5,1.5,1.0,214,2313.0067012440754,image_00118.npy
118,image_00119.fits,20,2.5,1.5,1.0,327,2859.1956910991594,image_00119.npy
119,image_00120.fits,20,2.5,1.5,1.0,361,3004.1637771599603,image_00120.npy
120,image_00121.fits,20,2.5,1.5,1.0,205,2263.8462845343543,image_00121.npy
121,image_00122.fits,20,2.5,1.5,1.0,453,3365.263734092768,image_00122.npy
122,image_00123.fits,20,2.5,1.5,1.0,467,3416.8699126539773,image_00123.npy
123,image_00124.fits,20,2.5,1.5,1.0,373,3053.686296920494,image_00124.npy
124,image_00125.fits,20,2.5,1.5,1.0,68,1303.8404810405298,image_00125.npy
125,image_00126.fits,20,2.5,1.5,1.0,185,2150.5813167606566,image_00126.npy
126,image_00127.fits,20,2.5,1.5,1.0,150,1936.4916731037083,image_00127.npy
127,image_00128.fits,20,2.5,1.5,1.0,164,2024.8456731316585,image_00128.npy
128,image_00129.fits,20,2.5,1.5,1.0,425,3259.6012026013245,image_00129.npy
129,image_00130.fits,20,2.5,1.5,1.0,370,3041.38126514911,image_00130.npy
130,image_00131.fits,20,2.5,1.5,1.0,409,3197.6553910638963,image_00131.npy
131,image_00132.fits,20,2.5,1.5,1.0,451,3357.826678076163,image_00132.npy
132,image_00133.fits,20,2.5,1.5,1.0,375,3061.8621784789725,image_00133.npy
133,image_00134.fits,20,2.5,1.5,1.0,33,908.2951062292474,image_00134.npy
134,image_00135.fits,20,2.5,1.5,1.0,40,1000.0,image_00135.npy
135,image_00136.fits,20,2.5,1.5,1.0,445,3335.4160160315832,image_00136.npy
136,image_00137.fits,20,2.5,1.5,1.0,352,2966.4793948382653,image_00137.npy
137,image_00138.fits,20,2.5,1.5,1.0,300,2738.6127875258303,image_00138.npy
138,image_00139.fits,20,2.5,1.5,1.0,11,524.4044240850758,image_00139.npy
139,image_00140.fits,20,2.5,1.5,1.0,97,1557.2411502397438,image_00140.npy
140,image_00141.fits,20,2.5,1.5,1.0,437,3305.298776207682,image_00141.npy
141,image_00142.fits,20,2.5,1.5,1.0,351,2962.262648719725,image_00142.npy
142,image_00143.fits,20,2.5,1.5,1.0,356,2983.2867780352594,image_00143.npy
143,image_00144.fits,20,2.5,1.5,1.0,438,3309.0784215548592,image_00144.npy
144,image_00145.fits,20,2.5,1.5,1.0,16,632.4555320336758,image_00145.npy
145,image_00146.fits,20,2.5,1.5,1.0,201,2241.651177145989,image_00146.npy
146,image_00147.fits,20,2.5,1.5,1.0,462,3398.5290935932853,image_00147.npy
147,image_00148.fits,20,2.5,1.5,1.0,171,2067.607312813533,image_00148.npy
148,image_00149.fits,20,2.5,1.5,1.0,59,1214.495780149112,image_00149.npy
149,image_00150.fits,20,2.5,1.5,1.0,384,3098.386676965933,image_00150.npy
150,image_00151.fits,20,2.5,1.5,1.0,399,3158.322339470752,image_00151.npy
151,image_00152.fits,20,2.5,1.5,1.0,88,1483.2396974191329,image_00152.npy
152,image_00153.fits,20,2.5,1.5,1.0,186,2156.3858652847825,image_00153.npy
153,image_00154.fits,20,2.5,1.5,1.0,101,1589.0248582070703,image_00154.npy
154,image_00155.fits,20,2.5,1.5,1.0,493,3510.6979363083915,image_00155.npy
155,image_00156.fits,20,2.5,1.5,1.0,315,2806.243040080456,image_00156.npy
156,image_00157.fits,20,2.5,1.5,1.0,362,3008.3217912982645,image_00157.npy
157,image_00158.fits,20,2.5,1.5,1.0,421,3244.225639501667,image_00158.npy
158,image_00159.fits,20,2.5,1.5,1.0,423,3251.92250830182,image_00159.npy
159,image_00160.fits,20,2.5,1.5,1.0,143,1890.767040118904,image_00160.npy
160,image_00161.fits,20,2.5,1.5,1.0,323,2841.6544476765644,image_00161.npy
161,image_00162.fits,20,2.5,1.5,1.0,491,3503.56960827097,image_00162.npy
162,image_00163.fits,20,2.5,1.5,1.0,462,3398.5290935932853,image_00163.npy
163,image_00164.fits,20,2.5,1.5,1.0,221,2350.531854708632,image_00164.npy
164,image_00165.fits,20,2.5,1.5,1.0,8,447.21359549995793,image_00165.npy
165,image_00166.fits,20,2.5,1.5,1.0,395,3142.4512724941337,image_00166.npy
166,image_00167.fits,20,2.5,1.5,1.0,64,1264.9110640673516,image_00167.npy
167,image_00168.fits,20,2.5,1.5,1.0,131,1809.6961070853856,image_00168.npy
168,image_00169.fits,20,2.5,1.5,1.0,466,3413.2096331752023,image_00169.npy
169,image_00170.fits,20,2.5,1.5,1.0,11,524.4044240850758,image_00170.npy
170,image_00171.fits,20,2.5,1.5,1.0,446,3339.1615714128,image_00171.npy
171,image_00172.fits,20,2.5,1.5,1.0,254,2519.9206336708303,image_00172.npy
172,image_00173.fits,20,2.5,1.5,1.0,92,1516.57508881031,image_00173.npy
173,image_00174.fits,20,2.5,1.5,1.0,161,2006.240264773888,image_00174.npy
174,image_00175.fits,20,2.5,1.5,1.0,362,3008.3217912982645,image_00175.npy
175,image_00176.fits,20,2.5,1.5,1.0,338,2906.8883707497266,image_00176.npy
176,image_00177.fits,20,2.5,1.5,1.0,434,3293.933818400121,image_00177.npy
177,image_00178.fits,20,2.5,1.5,1.0,374,3057.776970284131,image_00178.npy
178,image_00179.fits,20,2.5,1.5,1.0,320,2828.4271247461897,image_00179.npy
179,image_00180.fits,20,2.5,1.5,1.0,285,2669.269563007828,image_00180.npy
180,image_00181.fits,20,2.5,1.5,1.0,181,2127.204738618265,image_00181.npy
181,image_00182.fits,20,2.5,1.5,1.0,123,1753.567791675018,image_00182.npy
182,image_00183.fits,20,2.5,1.5,1.0,56,1183.2159566199232,image_00183.npy
183,image_00184.fits,20,2.5,1.5,1.0,355,2979.0938219532463,image_00184.npy
184,image_00185.fits,20,2.5,1.5,1.0,77,1387.443692551161,image_00185.npy
185,image_00186.fits,20,2.5,1.5,1.0,346,2941.088233970549,image_00186.npy
186,image_00187.fits,20,2.5,1.5,1.0,162,2012.4611797498103,image_00187.npy
187,image_00188.fits,20,2.5,1.5,1.0,67,1294.2179105544783,image_00188.npy
188,image_00189.fits,20,2.5,1.5,1.0,62,1244.989959798873,image_00189.npy
189,image_00190.fits,20,2.5,1.5,1.0,204,2258.317958127243,image_00190.npy
190,image_00191.fits,20,2.5,1.5,1.0,472,3435.112807463533,image_00191.npy
191,image_00192.fits,20,2.5,1.5,1.0,420,3240.37034920393,image_00192.npy
192,image_00193.fits,20,2.5,1.5,1.0,221,2350.531854708632,image_00193.npy
193,image_00194.fits,20,2.5,1.5,1.0,427,3267.261850540908,image_00194.npy
194,image_00195.fits,20,2.5,1.5,1.0,360,3000.0,image_00195.npy
195,image_00196.fits,20,2.5,1.5,1.0,107,1635.5427233796129,image_00196.npy
196,image_00197.fits,20,2.5,1.5,1.0,172,2073.6441353327723,image_00197.npy
197,image_00198.fits,20,2.5,1.5,1.0,62,1244.989959798873,image_00198.npy
198,image_00199.fits,20,2.5,1.5,1.0,334,2889.636655359978,image_00199.npy
199,image_00200.fits,20,2.5,1.5,1.0,309,2779.388421937459,image_00200.npy
200,image_00201.fits,20,2.5,1.5,1.0,386,3106.444913401813,image_00201.npy
201,image_00202.fits,20,2.5,1.5,1.0,277,2631.539473388153,image_00202.npy
202,image_00203.fits,20,2.5,1.5,1.0,432,3286.335345030997,image_00203.npy
203,image_00204.fits,20,2.5,1.5,1.0,318,2819.5744359743367,image_00204.npy
204,image_00205.fits,20,2.5,1.5,1.0,387,3110.466202999158,image_00205.npy
205,image_00206.fits,20,2.5,1.5,1.0,358,2991.655060330318,image_00206.npy
206,image_00207.fits,20,2.5,1.5,1.0,213,2307.5961518428653,image_00207.npy
207,image_00208.fits,20,2.5,1.5,1.0,254,2519.9206336708303,image_00208.npy
208,image_00209.fits,20,2.5,1.5,1.0,64,1264.9110640673516,image_00209.npy
209,image_00210.fits,20,2.5,1.5,1.0,449,3350.3731135501907,image_00210.npy
210,image_00211.fits,20,2.5,1.5,1.0,154,1962.1416870348585,image_00211.npy
211,image_00212.fits,20,2.5,1.5,1.0,77,1387.443692551161,image_00212.npy
212,image_00213.fits,20,2.5,1.5,1.0,365,3020.761493398643,image_00213.npy
213,image_00214.fits,20,2.5,1.5,1.0,335,2893.959225697556,image_00214.npy
214,image_00215.fits,20,2.5,1.5,1.0,298,2729.468812791236,image_00215.npy
215,image_00216.fits,20,2.5,1.5,1.0,281,2650.471656139714,image_00216.npy
216,image_00217.fits,20,2.5,1.5,1.0,51,1129.1589790636217,image_00217.npy
217,image_00218.fits,20,2.5,1.5,1.0,310,2783.882181415011,image_00218.npy
218,image_00219.fits,20,2.5,1.5,1.0,253,2514.9552679918584,image_00219.npy
219,image_00220.fits,20,2.5,1.5,1.0,479,3460.4912945996552,image_00220.npy
220,image_00221.fits,20,2.5,1.5,1.0,269,2593.260495977988,image_00221.npy
221,image_00222.fits,20,2.5,1.5,1.0,452,3361.5472627943223,image_00222.npy
222,image_00223.fits,20,2.5,1.5,1.0,497,3524.9113464029133,image_00223.npy
223,image_00224.fits,20,2.5,1.5,1.0,170,2061.5528128088304,image_00224.npy
224,image_00225.fits,20,2.5,1.5,1.0,347,2945.3352950046283,image_00225.npy
225,image_00226.fits,20,2.5,1.5,1.0,73,1350.9256086106295,image_00226.npy
226,image_00227.fits,20,2.5,1.5,1.0,154,1962.1416870348585,image_00227.npy
227,image_00228.fits,20,2.5,1.5,1.0,377,3070.0162866017504,image_00228.npy
228,image_00229.fits,20,2.5,1.5,1.0,265,2573.90753524675,image_00229.npy
229,image_00230.fits,20,2.5,1.5,1.0,196,2213.5943621178653,image_00230.npy
230,image_00231.fits,20,2.5,1.5,1.0,137,1850.675552332175,image_00231.npy
231,image_00232.fits,20,2.5,1.5,1.0,350,2958.039891549808,image_00232.npy
232,image_00233.fits,20,2.5,1.5,1.0,493,3510.6979363083915,image_00233.npy
233,image_00234.fits,20,2.5,1.5,1.0,289,2687.9360111431224,image_00234.npy
234,image_00235.fits,20,2.5,1.5,1.0,115,1695.582495781317,image_00235.npy
235,image_00236.fits,20,2.5,1.5,1.0,391,3126.499640172696,image_00236.npy
236,image_00237.fits,20,2.5,1.5,1.0,64,1264.9110640673516,image_00237.npy
237,image_00238.fits,20,2.5,1.5,1.0,201,2241.651177145989,image_00238.npy
238,image_00239.fits,20,2.5,1.5,1.0,383,3094.349689353161,image_00239.npy
239,image_00240.fits,20,2.5,1.5,1.0,356,2983.2867780352594,image_00240.npy
240,image_00241.fits,20,2.5,1.5,1.0,208,2280.350850198276,image_00241.npy
241,image_00242.fits,20,2.5,1.5,1.0,415,3221.024681681281,image_00242.npy
242,image_00243.fits,20,2.5,1.5,1.0,152,1949.3588689617927,image_00243.npy
243,image_00244.fits,20,2.5,1.5,1.0,370,3041.38126514911,image_00244.npy
244,image_00245.fits,20,2.5,1.5,1.0,151,1942.9359227725447,image_00245.npy
245,image_00246.fits,20,2.5,1.5,1.0,452,3361.5472627943223,image_00246.npy
246,image_00247.fits,20,2.5,1.5,1.0,382,3090.3074280724886,image_00247.npy
247,image_00248.fits,20,2.5,1.5,1.0,122,1746.424919657298,image_00248.npy
248,image_00249.fits,20,2.5,1.5,1.0,165,2031.0096011589897,image_00249.npy
249,image_00250.fits,20,2.5,1.5,1.0,211,2296.73681557117,image_00250.npy
250,image_00251.fits,20,2.5,1.5,1.0,232,2408.318915758459,image_00251.npy
251,image_00252.fits,20,2.5,1.5,1.0,161,2006.240264773888,image_00252.npy
252,image_00253.fits,20,2.5,1.5,1.0,268,2588.4358211089566,image_00253.npy
253,image_00254.fits,20,2.5,1.5,1.0,55,1172.6039399558574,image_00254.npy
254,image_00255.fits,20,2.5,1.5,1.0,475,3446.012188022555,image_00255.npy
255,image_00256.fits,20,2.5,1.5,1.0,186,2156.3858652847825,image_00256.npy
256,image_00257.fits,20,2.5,1.5,1.0,466,3413.2096331752023,image_00257.npy
257,image_00258.fits,20,2.5,1.5,1.0,431,3282.5295124339705,image_00258.npy
258,image_00259.fits,20,2.5,1.5,1.0,428,3271.0854467592253,image_00259.npy
259,image_00260.fits,20,2.5,1.5,1.0,359,2995.8304357890484,image_00260.npy
260,image_00261.fits,20,2.5,1.5,1.0,153,1955.7607215607943,image_00261.npy
261,image_00262.fits,20,2.5,1.5,1.0,78,1396.424004376894,image_00262.npy
262,image_00263.fits,20,2.5,1.5,1.0,299,2734.044622898463,image_00263.npy
263,image_00264.fits,20,2.5,1.5,1.0,267,2583.6021365527627,image_00264.npy
264,image_00265.fits,20,2.5,1.5,1.0,84,1449.137674618944,image_00265.npy
265,image_00266.fits,20,2.5,1.5,1.0,378,3074.08522978788,image_00266.npy
266,image_00267.fits,20,2.5,1.5,1.0,18,670.8203932499368,image_00267.npy
267,image_00268.fits,20,2.5,1.5,1.0,355,2979.0938219532463,image_00268.npy
268,image_00269.fits,20,2.5,1.5,1.0,247,2484.954727957835,image_00269.npy
269,image_00270.fits,20,2.5,1.5,1.0,170,2061.5528128088304,image_00270.npy
270,image_00271.fits,20,2.5,1.5,1.0,120,1732.0508075688772,image_00271.npy
271,image_00272.fits,20,2.5,1.5,1.0,329,2867.926079939997,image_00272.npy
272,image_00273.fits,20,2.5,1.5,1.0,427,3267.261850540908,image_00273.npy
273,image_00274.fits,20,2.5,1.5,1.0,299,2734.044622898463,image_00274.npy
274,image_00275.fits,20,2.5,1.5,1.0,386,3106.444913401813,image_00275.npy
275,image_00276.fits,20,2.5,1.5,1.0,411,3205.4640849649213,image_00276.npy
276,image_00277.fits,20,2.5,1.5,1.0,126,1774.823934929885,image_00277.npy
277,image_00278.fits,20,2.5,1.5,1.0,381,3086.2598724021927,image_00278.npy
278,image_00279.fits,20,2.5,1.5,1.0,499,3531.996602489872,image_00279.npy
279,image_00280.fits,20,2.5,1.5,1.0,297,2724.8853186877423,image_00280.npy
280,image_00281.fits,20,2.5,1.5,1.0,166,2037.154878746336,image_00281.npy
281,image_00282.fits,20,2.5,1.5,1.0,6,387.2983346207417,image_00282.npy
282,image_00283.fits,20,2.5,1.5,1.0,332,2880.9720581775864,image_00283.npy
283,image_00284.fits,20,2.5,1.5,1.0,42,1024.6950765959598,image_00284.npy
284,image_00285.fits,20,2.5,1.5,1.0,181,2127.204738618265,image_00285.npy
285,image_00286.fits,20,2.5,1.5,1.0,199,2230.4708023195462,image_00286.npy
286,image_00287.fits,20,2.5,1.5,1.0,210,2291.28784747792,image_00287.npy
287,image_00288.fits,20,2.5,1.5,1.0,233,2413.503677229434,image_00288.npy
288,image_00289.fits,20,2.5,1.5,1.0,53,1151.0864433221338,image_00289.npy
289,image_00290.fits,20,2.5,1.5,1.0,269,2593.260495977988,image_00290.npy
290,image_00291.fits,20,2.5,1.5,1.0,221,2350.531854708632,image_00291.npy
291,image_00292.fits,20,2.5,1.5,1.0,16,632.4555320336758,image_00292.npy
292,image_00293.fits,20,2.5,1.5,1.0,240,2449.489742783178,image_00293.npy
293,image_00294.fits,20,2.5,1.5,1.0,379,3078.148794324277,image_00294.npy
294,image_00295.fits,20,2.5,1.5,1.0,207,2274.862633215465,image_00295.npy
295,image_00296.fits,20,2.5,1.5,1.0,296,2720.2941017470885,image_00296.npy
296,image_00297.fits,20,2.5,1.5,1.0,454,3368.9761055846034,image_00297.npy
297,image_00298.fits,20,2.5,1.5,1.0,160,2000.0,image_00298.npy
298,image_00299.fits,20,2.5,1.5,1.0,116,1702.93863659264,image_00299.npy
299,image_00300.fits,20,2.5,1.5,1.0,100,1581.1388300841895,image_00300.npy
300,image_00301.fits,20,2.5,1.5,1.0,374,3057.776970284131,image_00301.npy
301,image_00302.fits,20,2.5,1.5,1.0,98,1565.2475842498527,image_00302.npy
302,image_00303.fits,20,2.5,1.5,1.0,446,3339.1615714128,image_00303.npy
303,image_00304.fits,20,2.5,1.5,1.0,161,2006.240264773888,image_00304.npy
304,image_00305.fits,20,2.5,1.5,1.0,330,2872.281323269014,image_00305.npy
305,image_00306.fits,20,2.5,1.5,1.0,309,2779.388421937459,image_00306.npy
306,image_00307.fits,20,2.5,1.5,1.0,395,3142.4512724941337,image_00307.npy
307,image_00308.fits,20,2.5,1.5,1.0,384,3098.386676965933,image_00308.npy
308,image_00309.fits,20,2.5,1.5,1.0,241,2454.5875417267152,image_00309.npy
309,image_00310.fits,20,2.5,1.5,1.0,380,3082.207001484488,image_00310.npy
310,image_00311.fits,20,2.5,1.5,1.0,51,1129.1589790636217,image_00311.npy
311,image_00312.fits,20,2.5,1.5,1.0,296,2720.2941017470885,image_00312.npy
312,image_00313.fits,20,2.5,1.5,1.0,369,3037.268509697488,image_00313.npy
313,image_00314.fits,20,2.5,1.5,1.0,500,3535.533905932737,image_00314.npy
314,image_00315.fits,20,2.5,1.5,1.0,190,2179.449471770337,image_00315.npy
315,image_00316.fits,20,2.5,1.5,1.0,8,447.21359549995793,image_00316.npy
316,image_00317.fits,20,2.5,1.5,1.0,33,908.2951062292474,image_00317.npy
317,image_00318.fits,20,2.5,1.5,1.0,281,2650.471656139714,image_00318.npy
318,image_00319.fits,20,2.5,1.5,1.0,499,3531.996602489872,image_00319.npy
319,image_00320.fits,20,2.5,1.5,1.0,140,1870.8286933869704,image_00320.npy
320,image_00321.fits,20,2.5,1.5,1.0,93,1524.7950681976906,image_00321.npy
321,image_00322.fits,20,2.5,1.5,1.0,99,1573.2132722552274,image_00322.npy
322,image_00323.fits,20,2.5,1.5,1.0,130,1802.7756377319945,image_00323.npy
323,image_00324.fits,20,2.5,1.5,1.0,141,1877.4983355518584,image_00324.npy
324,image_00325.fits,20,2.5,1.5,1.0,66,1284.5232578665127,image_00325.npy
325,image_00326.fits,20,2.5,1.5,1.0,17,651.9202405202649,image_00326.npy
326,image_00327.fits,20,2.5,1.5,1.0,308,2774.8873851023213,image_00327.npy
327,image_00328.fits,20,2.5,1.5,1.0,214,2313.0067012440754,image_00328.npy
